Date,Cost,Category,Details,Tips,Out,In,Surp,Subtotal
2015/6/8,-209,电子类,京东赛睿鼠标,,,,,7336
2015/6/10,-84,娱乐,DOTA2,TI5典藏宝瓶,,,,
2015/6/10,-9.6,餐饮,新希望,酸奶、面包,,,,
2015/6/16,-59.8,娱乐,电影,侏罗纪世纪,,,,
2015/6/16,-38,餐饮,大众点评,露丝茶餐厅,,,,
2015/6/16,-9.9,娱乐,电影,爆米花,,,,
2015/6/16,-9.3,餐饮,新希望,,,,,
2015/6/16,-8.8,餐饮,新希望,,,,,
2015/6/16,-600,现金,,,,,,
2015/6/18,-374,其他,给妈妈的礼物,无印良品香薰机加香薰，实际774，猪老婆补助400,,,,
2015/6/29,-41,固定支出,快的打车,,,,,
2015/6/29,-89,餐饮,大众点评,二娘爪爪,,,,
2015/6/29,-76,餐饮,大众,露丝茶餐厅,,,,
2015/6/29,-73,餐饮,KFC,,,,,
2015/6/29,-38,餐饮,大众,露丝茶餐厅,,,,
2015/6/29,-13,电子类,KINDLE电子书,古龙、亨得利短篇,,,,
2015/6/29,-36,餐饮,KFC,,,,,
2015/6/29,160,现金,购发票 ,支付宝还款,,,,
2015/7/2,-100,交通,汽油,,-4871.8,5365,493.2,-4771.8
2015/7/2,-8,餐饮,燃面,,,,,200报销
2015/7/3,-3,餐饮,咖啡,,,,,1350
2015/7/3,-10,餐饮,面包水,,,,,3815
2015/7/3,-4,交通,环球停车费,,,,,
2015/7/6,-10,交通,,,,,,
2015/7/6,-25,交通,,,,,,
2015/7/6,-28,餐饮,米粉,,,,,
2015/7/6,-100,餐饮,稀饭,,,,,
2015/7/6,-32,固定支出,理发,,,,,
2015/7/6,-6,交通,打车,,,,,
2015/7/6,-32.5,餐饮,,,,,,
2015/7/6,-180,餐饮,烧烤,,,,,
2015/7/6,-141,餐饮,花里寿司,,,,,
2015/7/6,-46,购物,矿泉水+4丝袜+面包,,,,,
2015/7/9,-13.3,餐饮,面、酸奶,,,,,
2015/7/9,-9.1,餐饮,面包、酸奶,,,,,
2015/7/9,-22.8,购物,字帖,,,,,
2015/7/9,-99.5,固定支出,话费,,,,,
2015/7/14,-15.8,餐饮,新希望,,,,,
2015/7/14,-200,交通,汽油,,,,,
2015/7/14,-13,餐饮,,,,,,
2015/7/14,-29,交通,过路费,,,,,
2015/7/14,-99,购物,ipad充电器,峨眉山掉了,,,,
2015/7/14,-400,餐饮,峨眉山,,,,,
2015/7/14,-34,交通,过路费,,,,,
2015/7/14,-12.5,餐饮,水果,,,,,
2015/7/14,-13,交通,过路费,夹江到眉山,,,,
2015/7/14,-66,餐饮,花串串,,,,,
2015/7/14,-16,餐饮,面,,,,,
2015/7/14,-3.3,餐饮,新希望,,,,,
2015/7/14,-12,餐饮,面,,,,,
2015/7/20,-8.8,餐饮,新希望,,,,,
2015/7/20,-1.3,餐饮,新希望,糯米0.5 - 25 代金券,,,,
2015/7/20,-8,餐饮,面,,,,,
2015/7/20,-3.8,餐饮,新希望,,,,,
2015/7/20,-12,餐饮,炒饭,,,,,
2015/7/20,-29,交通,过路费,,,,,
2015/7/20,-30,餐饮,羊肉,,,,,
